base_text,latitude,longitude,month,Canx,aircraft
WRIGHT PATTERSON AFB,39.826111,-84.048332,8,0.0242424242424242,f-35
WRIGHT PATTERSON AFB,39.826111,-84.048332,9,0.0375782881002087,f-35
WRIGHT PATTERSON AFB,39.826111,-84.048332,10,0.0303030303030303,f-35
WRIGHT PATTERSON AFB,39.826111,-84.048332,11,0.0375,f-35
WRIGHT PATTERSON AFB,39.826111,-84.048332,12,0.0504032258064516,f-35
BEALE AFB,39.136089,-121.436567,1,0.1551362683438155,global-Hawk
BEALE AFB,39.136089,-121.436567,2,0.0391705069124423,global-Hawk
BEALE AFB,39.136089,-121.436567,3,0.0103950103950103,global-Hawk
BEALE AFB,39.136089,-121.436567,4,0.032051282051282,global-Hawk
BEALE AFB,39.136089,-121.436567,5,0.0231578947368421,global-Hawk
BEALE AFB,39.136089,-121.436567,6,0.0405982905982906,global-Hawk
BEALE AFB,39.136089,-121.436567,7,0.0164609053497942,global-Hawk
BEALE AFB,39.136089,-121.436567,8,0.0410677618069815,global-Hawk
BEALE AFB,39.136089,-121.436567,9,0.0323974082073434,global-Hawk
BEALE AFB,39.136089,-121.436567,10,0.0475206611570247,global-Hawk
BEALE AFB,39.136089,-121.436567,11,0.1407249466950959,global-Hawk
BEALE AFB,39.136089,-121.436567,12,0.1457905544147844,global-Hawk
EGLIN AFB,30.48325,-86.5254,1,0.1169354838709677,global-Hawk
EGLIN AFB,30.48325,-86.5254,2,0.1238938053097345,global-Hawk
EGLIN AFB,30.48325,-86.5254,3,0.1088709677419354,global-Hawk
EGLIN AFB,30.48325,-86.5254,4,0.06875,global-Hawk
EGLIN AFB,30.48325,-86.5254,5,0.0282258064516129,global-Hawk
EGLIN AFB,30.48325,-86.5254,6,0.0229166666666666,global-Hawk
EGLIN AFB,30.48325,-86.5254,7,0.0141129032258064,global-Hawk
EGLIN AFB,30.48325,-86.5254,8,0.0161290322580645,global-Hawk
EGLIN AFB,30.48325,-86.5254,9,0.0104384133611691,global-Hawk
EGLIN AFB,30.48325,-86.5254,10,0.034274193548387,global-Hawk
EGLIN AFB,30.48325,-86.5254,11,0.04375,global-Hawk
EGLIN AFB,30.48325,-86.5254,12,0.1108870967741935,global-Hawk
EIELSON AFB,64.665667,-147.1015,1,0.1219512195121951,global-Hawk
EIELSON AFB,64.665667,-147.1015,2,0.0644444444444444,global-Hawk
